Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
09/01/2021 00:00,hear,,å høre,,hører,,hørte,,har hørt,te,,100,
09/01/2021 00:00,cough,,å heste,,hoster,,hostet,,har hostt,et,,50,
09/01/2021 00:00,remember,,å huske,,husker,,husket,,har huskt,et,,75,
09/01/2021 00:00,cast,,å f,,kaster,,kastet,,har kastet,,,75,
09/01/2021 00:00,"know (person, place)",,å kjenne,,kjenner,,kjennte,,har kjønt,te,,50,
09/01/2021 00:00,purchase,,å betale,,kjøper,,kjøpte,,har kjøpt,te,,75,
09/01/2021 00:00,cook,,å lage,,koker,,kokte,,har kokt,te,,75,
09/01/2021 00:00,"cost, sweep",,å koste,,koster,,kostet,,har kost,et,,75,
09/01/2021 00:00,"make, create",,å lage,,lager,,lagte,,har lagt,et,,50,
09/01/2021 00:00,play,,å leke,,leker,,lekte,,har lekt,te,,100,
09/01/2021 00:00,"live, be alive",,å leve,,lever,,levde,,har levd,de,,100,
09/01/2021 00:00,like,,å like,,liker,,likte,,har likt,te,,100,
09/01/2021 00:00,listen,,å lytte,,lytter,,lyttet,,har lytt,et,,75,
09/01/2021 00:00,to fix,,å fixe,,ordner,,ordnet,,har ordet,et,,50,
09/01/2021 00:00,fit,,å d,,passer,,passte,,har passt,et,,25,
09/01/2021 00:00,"try, attempt",,å d,,prøver,,prøvde,,har prøvd,de,,75,
09/01/2021 00:00,"clean, polish",,å pusse,,pusser,,puset,,har puss,et,,50,
09/01/2021 00:00,to breathe,,å puste,,puster,,pustet,,har pustet,et,,100,
09/01/2021 00:00,ring,,å ringe,,ringer,,ringte,,har ring,te,,75,
09/01/2021 00:00,"call, shout",,å skrike,,roper,,ropte,,har ropt,te,,75,
09/01/2021 00:00,tidy,,å ridde,,rydder,,ryddet,,har rydd,et,,50,
09/01/2021 00:00,to realx,,å slape,,sapper,,slappet,,har slappt,et,,25,
09/01/2021 00:00,send,,å sende,,sender,,sente,,har sendt,te,,75,
09/01/2021 00:00,cut,,å sjære,,skjærer,,skjærte,,har skart,te,Y,25,
09/01/2021 00:00,understand,,å forstæ,,skjønner,,skjønnte,,har skjøtt,,Y,25,
09/01/2021 00:00,to scare,,åd,,skremmer,,skremte,,har skremt,te,,75,
09/01/2021 00:00,"end, close",,å slutt,,slutter,,sluttet,,har slått,et,,50,
09/01/2021 00:00,smile,,å smile,,smiler,,smilte,,har smilt,te,,100,
09/01/2021 00:00,snow,,å snø,,snør,,snodde,,har snødd,dde,,75,
09/01/2021 00:00,play,,å spile,,spiller,,spillte,,har spilt,te,,50,
09/01/2021 00:00,eat,,å spise,,spiser,,spiste,,har spist,te,,100,
09/01/2021 00:00,"roast, fry, bake",,å steke,,steker,,stekte,,har stekt,te,,100,
09/01/2021 00:00,"vote, agree",,å s,,stemmer,,stemmte,,har stemt,te,,50,
09/01/2021 00:00,study,,å studere,,studerer,,studerte,,har studert,te,,100,
09/01/2021 00:00,"answer, reply",,å svare,,svarer,,svarte,,har svart,te,,100,
09/01/2021 00:00,"think, intend",,å tenke,,tenker,,tenkte,,har tenkt,te,,100,
09/01/2021 00:00,need,,å trenge,,trenger,,trengte,,har trengt,te,,100,
09/01/2021 00:00,believe,,å trø,,tror,,trodde,,har trodd,,,75,
09/01/2021 00:00,to print,,å trykke,,trykker,,trykket,,har trikket,et,,75,
09/01/2021 00:00,to joke ,,å j,,tuller,,tullte,,har tullt,et,,25,
09/01/2021 00:00,"wake, awaken",,å vake,,våkner,,våknet,,har våknt,et,,50,
09/01/2021 00:00,wash,,å vaske,,vasker,,vasket,,har vaskt,,,75,
09/01/2021 00:00,"wait, expect",,å vente,,ventee,,ventet,,har ventet,et,,75,
09/01/2021 00:00,show,,å s,,viser,,viste,,har vist,te,,75,
10/01/2021 00:00,open,,å åpne,,åpner,,åpnet,,har åpnet,et,,100,
10/01/2021 00:00,open,,å åpne,,åpner,,åpnet,,har åpnet,et,,100,
10/01/2021 00:00,work,,å arbeide,,arbeider,,arbeidet,,har arbeidet,et,,100,
10/01/2021 00:00,to bake,,å bake,,baker,,bakte,,har bakt,te,,100,
10/01/2021 00:00,begin,,å begynne,,begynner,,begynnte,,har begynnt,te,,50,
10/01/2021 00:00,pay,,å betale,,betaler,,betalte,,har betalt,te,,100,
10/01/2021 00:00,"mean, signify",,å bety,,betyr,,betydde,,har betyd,dde,,75,
10/01/2021 00:00,to move,,å bevegelse,,beveger,,beveget,,har bevegt,et,,50,
10/01/2021 00:00,"live, reside",,å bo,,bo,,bodde,,har bodd,dde,,75,
10/01/2021 00:00,use,,å bruke,,bruker,,brukte,,har brukt,te,,100,
10/01/2021 00:00,to cover,,å brytte,,dekker,,dekkte,,har dekt,et,,25,
10/01/2021 00:00,die,,å do,,dør,,døde,,har dødd,de,,50,
10/01/2021 00:00,shower,,å dusje,,dusjer,,dusjet,,har dusjt,et,,75,
10/01/2021 00:00,"be, feel",,å føle,,føler seg,,følte seg,,har følt seg,te,,75,
10/01/2021 00:00,explain,,å beklage,,forklarer,,forklarte,,har forklart,te,,75,
10/01/2021 00:00,marry,,å gifte,,gifter,,giftet,,har gift,et,,75,
10/01/2021 00:00,to hide,,å d,,gjemmer,,gjemte,,har gjemt,te,,75,
10/01/2021 00:00,look forward,,å glede seg,,gleder seg,,gledet seg,,har gledet seg,et,,100,
10/01/2021 00:00,forget,,å glemme,,glemmer,,glemmte,,har glemt,te,,75,
10/01/2021 00:00,"fetch, bring",,å bringe,,henter,,hentet,,har hent,et,,50,
10/01/2021 00:00,be called/named,,å hete,,heter,,hetet,,har hett,te,,75,
10/01/2021 00:00,greet,,å hilse,,hilser,,hilste,,har hilst,te,,100,
10/01/2021 00:00,jump,,å hoppe,,hopper,,hoppte,,har hopt,et,,50,
10/01/2021 00:00,hear,,å høre,,hører,,hørte,,har hørt,te,,100,
10/01/2021 00:00,cough,,å hoste,,hostet,,hostet,,har host,et,,50,
10/01/2021 00:00,remember,,å glemme,,husker,,husket,,har huskt,et,,50,
10/01/2021 00:00,cast,,å f,,kaster,,kastet,,har kastet,,,75,
10/01/2021 00:00,"know (person, place)",,å kjenne,,kjenner,,kjennte,,har kjent,te,,75,
10/01/2021 00:00,purchase,,å kjøpe,,kjøper,,kjøpte,,har kjøpt,te,,100,
10/01/2021 00:00,cook,,å koke,,koker,,kokte,,har kokt,te,,100,
10/01/2021 00:00,"cost, sweep",,å koste,,koster,,kostet,,har kostet,et,,100,
10/01/2021 00:00,"make, create",,å lage,,lager,,laget,,har lagdt,et,,75,
10/01/2021 00:00,play,,å leke,,leker,,lekte,,har lekt,te,,100,
10/01/2021 00:00,"live, be alive",,å b o,,lever,,levde,,har levd,de,,75,
